,LIBRARY,FREQUENCY
0,python,17
1,python library,7
2,corpus,7
3,tokenizer,6
4,pip,6
5,documentation,6
6,parser,5
7,language,5
8,text,4
9,python code,4
10,encoding,3
11,tokenization,3
12,utf,3
13,entity recognition ner,3
14,stanford corenlp,3
15,twine version,3
16,latent dirichlet allocation,2
17,sentencepiece,2
18,unicode,2
19,sentence transformer model,2
20,sentence transformer,2
21,publication sentence bert sentence embeddings,2
22,specific sentence embeddings,2
23,monolingual sentence embeddings,2
24,perfect sentence embeddings,2
25,cuda version follow pytorch,2
26,siamese bert network,2
27,dense vector representation,2
28,sentence paragraph,2
29,textblob,2
30,levenshtein distance,2
31,spacy,2
32,word,2
33,official python nlp library,2
34,stanford nlp group,2
35,google translate,2
36,sentence segmentation,2
37,nltk,2
38,nlp,2
39,feature,2
40,pure python,2
41,selfies,2
42,python implementation,2
43,pypi,2
44,multilingual nlp library,2
45,hanlp,2
46,various human language,2
47,tensorflow x,2
48,x branch hanlp,2
49,industry hanlp,2
50,english chinese,2
51,deep learning technique,2
52,pytorch,2
53,x forum,2
54,word frequency,2
55,text data,2
56,dictionary,2
57,text file,2
58,botok,2
59,tibetan unicode,2
60,regex module support,1
61,re module regex,1
62,regex module,1
63,regex module release,1
64,regex implementation,1
65,module support unicode,1
66,entire regex,1
67,fuzzy regex specifies,1
68,full unicode case folding,1
69,standard re module,1
70,topic modelling document indexing,1
71,unsupervised document analysis,1
72,documentation gensim,1
73,information retrieval,1
74,similarity retrieval,1
75,fast blas library,1
76,semantic analysis lsa lsi svd,1
77,sentencepiece python module,1
78,train function sentencepiece trainer,1
79,python wrapper,1
80,training sentence,1
81,api,1
82,pip command,1
83,output model,1
84,training,1
85,reproducible bleu score,1
86,version sacrebleu support evaluation,1
87,bleu score,1
88,multi bleu pl,1
89,multi bleu detok perl,1
90,corpus level bleu chrf,1
91,sacrebleu format text,1
92,official wmt score,1
93,language pair sacrebleu,1
94,compute bleu chrf,1
95,unicode howto unidecode,1
96,non ascii input unidecode,1
97,human readable unicode string,1
98,unicode data,1
99,unicode standard encodes letter,1
100,unicode escape encoding,1
101,non ascii character,1
102,unicode character,1
103,ascii representation,1
104,tokenizers,1
105,tokenizer tokenizer tokenizer model bpe,1
106,tokenizers bert wordpiece,1
107,tokenizer pre tokenizer,1
108,tokenizer encode,1
109,tokenizer tokenizer charbpetokenizer,1
110,own tokenizer,1
111,tokenizers charbpetokenizer,1
112,torchtext datasets,1
113,torchtextlanguage modeling,1
114,corresponding torchtext version,1
115,torchtext library,1
116,torchtext,1
117,common nlp datasetstorchtext data,1
118,basic nlp building blockstorchtext,1
119,language modeling wikitext,1
120,http pytorch org,1
121,basic text processing transformationstorchtext model pre,1
122,ascii utf utf,1
123,variant utf,1
124,western european language iso window greek iso window,1
125,excellent original chardet port,1
126,charade python,1
127,http chardet readthedocs io chardet,1
128,thai noteour iso,1
129,hz gb iso,1
130,python install,1
131,http textblob readthedocs io python,1
132,homepage http textblob readthedocs,1
133,noun phrase extractionpart,1
134,common natural language processing nlp task,1
135,speech taggingsentiment analysisclassification,1
136,more textblob,1
137,noun phrase extraction sentiment analysis classification translation,1
138,textual data,1
139,naive bayes decision tree tokenization splitting text,1
140,mojibake encoding mix ups,1
141,ascii space,1
142,original string ftfy,1
143,python ftfy,1
144,html,1
145,twitter ftfy,1
146,original text,1
147,text parser,1
148,algebraic notation parser,1
149,python representation,1
150,type parseresults,1
151,simple sql parser,1
152,expression grammar peg,1
153,simple corba idl parser,1
154,chemical formula parser,1
155,sequence labeling evaluation seqeval,1
156,metric seqeval support,1
157,seqeval,1
158,task data seqeval support,1
159,semantic role labeling,1
160,entity recognition part,1
161,evaluation mode,1
162,perl script conlleval,1
163,strict mode,1
164,python framework,1
165,edit distance levenshtein distance,1
166,several library pyxdameraulevenshteinpylevpython levenshteinon python,1
167,parallel approximate string,1
168,fast implementation,1
169,hash method,1
170,hash,1
171,hashable object,1
172,string word,1
173,ipython,1
174,emoji code,1
175,emoji http carpedm github io emoji auto,1
176,unicode consortium py,1
177,unicode code py,1
178,english emoji cheat,1
179,unicode consortium,1
180,emoji,1
181,language alias,1
182,beautifulsoup,1
183,apache nlp research library,1
184,deep semantic natural language processing platform allennlp,1
185,ai allennlp blog allennlp support,1
186,allennlp library,1
187,http github com allenai allennlp model,1
188,allennlp plugins,1
189,allennlp guide,1
190,nlp construct,1
191,subcommand api doc allennlp,1
192,repository allennlp,1
193,wikipedia data,1
194,wiki api,1
195,http wikipedia readthedocs org,1
196,wikipedia search wikipedia,1
197,mediawiki api,1
198,pywikipediabot,1
199,mediawiki infrastructure,1
200,wikipedia,1
201,mediawiki api wrapper,1
202,more wikipedia,1
203,fuzzy string matching,1
204,fuzzywuzzy kotlinr fuzzywuzzyr r port,1
205,string matching,1
206,python levenshtein,1
207,higherdifflibpython levenshtein optional,1
208,fuzzywuzz,1
209,free pascal fuzzywuzzy pa free,1
210,fuzzysharp net port,1
211,unicode idna compatibility processing,1
212,unicode technical standard unicode idna compatibility processing,1
213,idna specification rfc,1
214,idna conversion functionality,1
215,application idna protocol,1
216,idna codec module conversion,1
217,current idna specification,1
218,unicode technical standard unicode idna compatibility processing emoji,1
219,idna conversion,1
220,ut data py file idna data,1
221,fasttext train,1
222,fasttext model,1
223,supervised model file fasttext,1
224,text classifier,1
225,fasttext,1
226,fasttext class,1
227,word representation tutorial,1
228,python requirementsinstallationusage overviewword representation modeltext classification modelimportant,1
229,word representation,1
230,supervised parametersmodel objectfasttext,1
231,python humanize readthedocs ioif,1
232,locale abbreviation,1
233,locale,1
234,locale file,1
235,new locale,1
236,locale name,1
237,various common humanization utility,1
238,fuzzy human readable duration minute,1
239,modest package,1
240,scispacy model,1
241,scispacy,1
242,spacy doc,1
243,biomedical natural language processing,1
244,other spacy model,1
245,spacy component,1
246,entity span detection model,1
247,scientific document,1
248,powerful nlp library flair,1
249,pytorch nlp framework,1
250,flair sequence tagging model,1
251,natural language processing nlp model,1
252,speech tagging,1
253,flair embeddings bert embeddings,1
254,nlp task,1
255,entity recognition ner part,1
256,own language model sequence labeling model,1
257,offline speech recognition engine api support cmu sphinx,1
258,speech recognition directory documentation,1
259,speech recognition version software,1
260,speech recognition init py example,1
261,python m speech recognition,1
262,http github com uberi speech recognition readme,1
263,speech recognition init py version tag,1
264,google cloud speech api recognizer instance,1
265,github speechrecognition,1
266,see speech recognition,1
267,flashtext algorithm,1
268,flashtext algorithm documentation,1
269,flashtext issuessource code http github com vi k,1
270,keywords,1
271,word boundary,1
272,dictionary time,1
273,aho corasick algorithm,1
274,sentence,1
275,find feature,1
276,java stanford corenlp software,1
277,clinical english model package,1
278,various accurate natural language processing tool,1
279,stanza biomedical model description paper,1
280,corenlp software,1
281,biomedical model documentation page,1
282,haiku training,1
283,haiku network,1
284,jax haiku,1
285,haiku transforms,1
286,haiku,1
287,apply haiku,1
288,haiku haiku,1
289,network haiku doe,1
290,http haiku o,1
291,haiku quickstart installation example user,1
292,japanese tokenizer,1
293,japanese tokenization,1
294,different mecab dictionary available,1
295,different library fugashi,1
296,morphological analysis tool wheel,1
297,mecab documentation,1
298,mecab binary mecab,1
299,fugashi,1
300,dictionary wrapper,1
301,arbitrary dictionary,1
302,subword segmentation,1
303,subword embeddings,1
304,bpemb,1
305,bpembinstall bpemb,1
306,many subwords,1
307,sentencepiece model,1
308,large vocabulary size,1
309,embed method ab abkhazian ace achinese ady adyghe,1
310,vocabulary size,1
311,smaller vocabulary size,1
312,undocumented google translate speech functionality,1
313,gtts google text,1
314,speech api write,1
315,google translate tt,1
316,http gtts readthedocs org,1
317,google cloud text,1
318,google cloud,1
319,cli tool,1
320,grammarcan parse,1
321,import grammar,1
322,free grammarsfull support,1
323,parse tree ast,1
324,free grammar,1
325,ambiguous grammarsebnf grammarunicode,1
326,supportedpython compatibleautomatic line column,1
327,terminal string number name,1
328,sentence string mosespunctuationnormalizer object,1
329,string mosessentencesplitter doe,1
330,punctuation perl tokenizer perl,1
331,split sentence perl,1
332,processing perl script,1
333,corresponding perl script,1
334,close method,1
335,background process,1
336,perl,1
337,contrast mosesdetokenizer,1
338,sequence modeling toolkit,1
339,translation summarization language modeling,1
340,neural machine translation fomicheva et al wav,1
341,neural machine translation,1
342,autoregressive neural machine translation,1
343,language modeling,1
344,sequence learning,1
345,neural language modeling baevski,1
346,neural machine translation liu et,1
347,neural story generation fan et al wav vec,1
348,clean text us ftfy unidecode,1
349,transliteration transliteration,1
350,unicodedata normalize,1
351,clean text,1
352,unicodedata s,1
353,processing text,1
354,available clean text,1
355,cleantext,1
356,text representation,1
357,e unidecode,1
358,language detection wiki,1
359,net shuyo language detection library,1
360,language detection library version,1
361,langdetect jar tool,1
362,language detection library,1
363,top language notelanguage detection algorithm,1
364,python version langdetect support language,1
365,language profile,1
366,first language detection,1
367,new language profile,1
368,representative korean sentence segmentation toolkit,1
369,korean sentence segmentation algorithm,1
370,korean sentence segmentation,1
371,sentence segmentation toolkit,1
372,multiple text batch segmentationkss,1
373,single text segmentationan example,1
374,mecab sentence segmentation,1
375,function segment input text,1
376,segmentation process,1
377,independent statistical language modeling,1
378,nltk english corpus,1
379,other language,1
380,case information,1
381,script,1
382,recent dataset,1
383,russian translation hotoo pinyin documentation http pypinyin rtfd,1
384,github http github com mozillazg python pinyinlicense,1
385,pinyin,1
386,pinyin y strict,1
387,mozillazg rust pinyin rust,1
388,http pypinyin rtfd,1
389,phrase pypinyin,1
390,pypinyin,1
391,neutral tone,1
392,project python python u,1
393,vector storage file format,1
394,generic key vector store,1
395,vector embeddings,1
396,gensim,1
397,python package,1
398,full documentation,1
399,machine learning model,1
400,domain,1
401,interactive topic model visualization,1
402,lda topic model,1
403,topic model,1
404,interactive language learning visualization,1
405,topic modelsnotebook,1
406,visualization,1
407,ipython notebook,1
408,parser predict,1
409,syntactic semantic parser,1
410,structured prediction algorithm supar,1
411,biaffine dependency parser,1
412,structured prediction,1
413,treebank language,1
414,english semantic dependency,1
415,language model,1
416,treebanks,1
417,difflib sequencematcher,1
418,numerous edit distance library,1
419,difflib documentation,1
420,edit distance,1
421,sequencematcher method distance,1
422,distance levenshtein distance,1
423,difflib,1
424,minimal edit sequence,1
425,difflib us difflib doe,1
426,wikipedia api,1
427,wikipediapagesection,1
428,class wikipediapage ha property summary,1
429,wiki page wikipediapage,1
430,wikipedia documentation,1
431,property categoriesremoving wikipedialanglinkpage,1
432,wikipedia object,1
433,wikipedia page,1
434,wikipediapage,1
435,wikipediaadded support,1
436,many language uralicnlp,1
437,uralic language,1
438,dictionary fast uralicnlp,1
439,parser documentation uralicnlp,1
440,other uralic language semur,1
441,language runa word form,1
442,uralicapi model info language,1
443,uralicnlp official java versionthe library,1
444,nlp library,1
445,uralic language journal,1
446,fastest string search algorithm,1
447,approximate multi pattern string search,1
448,efficient aho corasick search pyahocorasick,1
449,fast multi pattern string,1
450,pyahocorasick python library,1
451,pure python automaton,1
452,multiple key string occurrence,1
453,string index,1
454,enchant spellchecking library,1
455,many popular spellchecking package,1
456,pyenchant enchant,1
457,ispell aspell,1
458,enchant library user,1
459,python language,1
460,decent spellchecker,1
461,enchant website,1
462,enchant website http abiword github io,1
463,pyenchant github,1
464,pyonmttok token object,1
465,pyonmttok token class,1
466,opennmt tokenizer,1
467,tokenizer instance,1
468,pyonmttok tokentype enumeration,1
469,subword tokenization,1
470,token object,1
471,customizable text tokenization library,1
472,tokenization option,1
473,unicodecsv,1
474,dreaded ascii codec,1
475,csv module doesn t,1
476,unicode string,1
477,csv module,1
478,encode character,1
479,pypy python,1
480,bytestream,1
481,codecs,1
482,serializer note,1
483,stemming,1
484,information retrieval software,1
485,building search engine,1
486,search,1
487,algorithmspystemmer,1
488,common linguistic base form,1
489,information retrieval researcher,1
490,common morphological ending,1
491,algorithm,1
492,original algorithm,1
493,myriad korean nlp engine,1
494,labyrinthine text konlpy,1
495,python programming language,1
496,powerful string processing module,1
497,complex language,1
498,web programming,1
499,meaningful feature,1
500,data analysis,1
501,world,1
502,universal charset encoding detector,1
503,charset encoding,1
504,charset detector,1
505,real first universal charset detector,1
506,http charset normalizer readthedocs,1
507,charset encoding extract match,1
508,specific encoding,1
509,charset encoding table,1
510,charset normalizer import,1
511,chardet accuracy,1
512,text unidecode perl library,1
513,better transliteration quality text unidecode support python,1
514,text unidecode unidecode,1
515,text unidecode,1
516,isounidecode unidecode,1
517,other python port,1
518,didn t support python,1
519,basic port,1
520,gplv,1
521,gpl,1
522,spacy nlp system,1
523,english lemmatization,1
524,several other popular nlp utility,1
525,pyinflect lemminflect,1
526,inflect word,1
527,dictionary system,1
528,lemminflect,1
529,different inflected word,1
530,first import lemminflect,1
531,standardized json nlp format,1
532,python json nlp module,1
533,json nlp output,1
534,json nlp converter,1
535,json nlp,1
536,system json nlp,1
537,java json nlp maven module,1
538,important output nlp pipeline,1
539,nlp pipeline interface,1
540,json nlp github repo,1
541,vader sentiment analysis tool vader sentiment lexicon,1
542,sentiment analysis tool,1
543,sentiment reasoner,1
544,sentiment analysis engine,1
545,sentiment analysis,1
546,vader valence,1
547,linguistic classifier topic text,1
548,vader github,1
549,vader github repo,1
550,audience science research classifier license osi,1
551,janome japanese python,1
552,janome,1
553,japanese morphological analysis engine,1
554,janome oekaki,1
555,dictionary statistical model,1
556,english http mocobeta github,1
557,general documentation http mocobeta github,1
558,mecab ipadic,1
559,ikawaha takuyaa nakagami,1
560,tokenizer po tagger,1
561,spacy language pipeline tar ball,1
562,dependency parser,1
563,classical chinese text,1
564,ud kanbun pipeline us mecab,1
565,japanese user,1
566,universal dependency udkanbun load,1
567,first stanfordnlp pipeline,1
568,training documentation stanfordnlp,1
569,issue report stanfordnlp support python,1
570,universal dependency parse,1
571,java stanford corenlp server,1
572,morphological feature tagger,1
573,stanfordnlp,1
574,selfies string,1
575,molecular string representation blog,1
576,selfies decoder,1
577,attribution selfies,1
578,default selfies,1
579,special selfies symbol,1
580,valid random molecule,1
581,molecular graph,1
582,self referencing,1
583,smile pair encoding smilespe,1
584,smile string e g chembl,1
585,selfiesexample,1
586,basic tokenizers,1
587,deepsmilesdowbload spe chembl txt,1
588,spe tokenizer,1
589,substructure tokenizer,1
590,chembl data,1
591,byte pair encoding,1
592,lucene retrieval,1
593,sparse retrieval,1
594,dense retrieval,1
595,reproducible information retrieval research,1
596,anserini ir toolkit,1
597,dense representation retrieval,1
598,package requirement pyserini,1
599,cache pyserini index,1
600,first stage retrieval,1
601,python toolkit,1
602,smaller bert model,1
603,multilingual bert,1
604,bert model,1
605,python object bert score,1
606,automatic evaluation metric,1
607,bertscore computes precision recall,1
608,python function bert score score,1
609,awesome bert fairseq,1
610,coco captioning dataset,1
611,bert iclr,1
612,larger grammar ply,1
613,ambiguous grammar ply,1
614,lex,1
615,ply,1
616,standard lex,1
617,yacc,1
618,extensive error checking,1
619,empty production precedence rule error recovery,1
620,implementation,1
621,hiragana katakana hankaku half,1
622,jaconv japanese converter,1
623,h z hankaku zenkakufix bug,1
624,japanese character,1
